Name,Description,Lat/Lng,Tags,Region,Listing no
Strome Castle (Lochcarron),"It is not the ruin itself but its stunning location that bring people to Strome Castle. It has a commanding position above the Atlantic-fed Loch Carron, on the west coast of Ross and Cromarty. The loch is home to two dolphins, visiting sea otters, along with sea birds, a number of grey seals and on the rocks below the castle itself is a colony of the rare flame shells, a scallop like sea creature with orange tentacles. Within the greater area of Lochcarron you may even come across an elusive pine martin. The area is known for its seafood and there are numerous high quality local crafts on offer. A small information panel on the approach to the site gives an overview of the castle’s history. Follow A896 S through Lochcarron, at end of village turn L, Church St, signposted Strome Castle, reached in 3 miles. Park in a nearby pull-in.","57.3591, -5.5551","[""Good for picnics"", ""Close to parking"", ""Cycle path"", ""Lovely walk""]",Southern Scottish Highlands,5
Castle Lachlan (& Kilmorie Chapel),"In a sheltered bay, the gentle waters of Loch Fyne lap against a rocky knoll where the ivy-covered ruins of Castle Lachlan have stood for centuries. Everything about this area is unspoilt and quite astonishingly beautiful. The castle was a stronghold for the Clan Maclachlan and has been in ruins since the death of its chief at Culloden. Between the old and the new castles you will find the 13th-century ruin of St Maelrubha’s or Kilmorie Chapel, a small roofless church within a walled graveyard where the Maclachlan clan chiefs are buried . Funds were raised to save the church and now the castle is currently raising funds to prevent it falling into further ruin (www.oldcastlelachlan.com). Half an hour away in neighbouring Loch Goil the small family business of Argyll Voyageur Canoes offer trips out on the Loch Goil where you can see seal colonies and sometimes porpoises (argyllvoyageurcanoes.co.uk). From Tarbet on Loch Lomond, take A83 W for 12½ miles hugging banks of Kinglas Water. Take the L turn to A815. Continue for 9 ½ miles following the banks of Loch Fyne. Go past Creggans Inn then take R turn (A886) towards Portavadie Marina. After 3 miles keep R to join single track B8000 Tighnabruaich (coastal route). You’ll pass Kilmorie Chapel where there is parking for the castle. The castle is 15 mins moderate walk over sometimes boggy ground.","56.1085, -5.2094","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife""]",Southern Scottish Highlands,6
Ruined Church (Lochcarron),"This lonely little church is opposite the Golf Tea Rooms, near the village of Lochcarron. Built in the 18th century, and now a ruin, the church has no roof, is covered in ivy and looks out over the coast. In the peaceful burial ground are several lichen-covered gravestones. Head N from Lochcarron on A896, ruin is on the right opposite the golf course tea rooms.","57.4139, -5.4729","[""Dramatic"", ""Religious site""]",Southern Scottish Highlands,7
Castle Tioram (Loch Moidart),"Castle Tioram is a spectacular romantic ruin on a tidal island within Loch Moidart. The remote location of the castle mean it is far less visited than some of the more well-known castles in Scotland. The owners would like to convert this ruin into a grand dwelling, which has sparked debate as it would mean it would be no longer open to the public. At the time of writing the owners were in discussion with Historic Scotland to reach a mutually beneficial solution to this problem. As an unsecured ruin, parts of the castle are dangerous to enter so take heed of any warning signs. A mile and half from the castle, along the headland to the east, you will find the ruined settlement of Port a’ Bhàta, a deserted township whose last residents abandoned it in 1915. Bracken and moss are slowly reclaiming the former dwellings, but you can still make out old fireplaces and alcoves. From Lochailort, W of Fort William, head S past the station and Lochailort Inn on the A830. Take the L turn onto A861 signposted Glenuig and Kinlochmoidart. Continue for 18 miles, about a mile past the highly rated Mingarry Park Guest House (01967 431202) then take the R turn for Doirlinn. Continue on this single-track road for 2 miles until you see the banks of Loch Moidart and castle ahead of you. Turn R here to the car park 56.7809, -5.8251. From here it’s a 5 mins easy walk across to the tidal island.","56.7845, -5.8290","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife""]",Southern Scottish Highlands,8
Dunstaffnage Castle (Dunbeg),"The castle stands on a rock raised above managed parkland overlooking the Firth of Lorn. The castle’s huge curtain wall is one of the oldest standing castle remains in Scotland and you can climb to the battlements to appreciate its defensive position and admire the views over the loch. The grassy banks leading to the castle make it a great place to visit for a summer picnic. Home to the MacDougall family, it dates from the 13th century. Another 13th-century ruin, Dunstaffnage chapel, is hidden in trees nearby. From Oban take the A85 N to Dunbeg then turn L at the ‘Dunbeg Drive Safely’ sign. Continue past Dunbeg post office then follow Historic Scotland signs to castle. From the car park, it’s a 5 mins easy walk up to the castle. Buses from Oban to Dunbeg.","56.4546, -5.4374","[""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""English Heritage"", ""Pay to enter""]",Southern Scottish Highlands,9
Kenmuir Hill Temple (Howwood),"On a blustery day the walk up to the stone folly on Kenmuir Hill is an invigorating one. From this hilltop you can look over the surrounding pasture land and down towards Castle Semple Loch and country park. This octagonal structure was built in the mid 18th century to mimic Greek and Roman structures after its creator, William McDowall, took the Grand Tour of Europe. Towering above National Cycle Network Route 7, it is very accessible to cyclists. Head NW from Howwood centre on Station Rd, park at lay-by just after bridge. Temple is L, 1 mile walk on a farm lane. There is also a footpath following the banks of Castle Semple Loch.","55.8098, -4.5781","[""Lovely walk"", ""Cycle path"", ""UNKNOWN:7"", ""Dramatic""]",South West Scotland & Arran,1
Sweetheart Abbey (New Abbey),"The large 13th-century ruin of Sweetheart Abbey stands quite unannounced on the side of the road at New Abbey. The red sandstone abbey was built by Lady Devorguilla as a lasting memory to her husband John Balliol. For the 22 years following his death she carried around his embalmed heart in a silver and ivory box. When she died in 1290 she was buried in the abbey church with her husband’s heart beside her. Abbey Cottage Tearoom serves afternoon tea and glutenfree snacks. The Criffel Inn, 01387 850305, offers high tea and other meals. Shambellie Walled Garden and Nursery is also in the village and worth a visit. From Dumfries head S on A710, 7 miles to New Abbey. Pass Criffel Inn DG2 8BX and as road bends R take L past abbey signed parking.","54.9802, -3.6191","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""Religious site"", ""English Heritage"", ""Pay to enter""]",South West Scotland & Arran,2
Dunskey Castle (Portpatrick),"On the hammer-headed Rhins of Galloway peninsula, the ruin of Dunskey Castle juts out to sea on a rocky headland. There is no access to the interior, but you can admire this picturesque ruin from the outside - take care as it is perched precariously on the cliff top. As well as the sea that surrounds the castle on three sides, a natural ditch has been created on the fourth, landward, side, enhancing its strategic position. There may have been a castle or fort on the site as far back as the Iron Age but the present building dates from between the 13th and 16th centuries. Dunskey is the archetypal romantic ruin, immortalised in William Daniell’s ‘A voyage round Great Britain’, a celebration of the rural coastline of Britain, published in 1814-1825. From Stranraer take the A77 S to Lochans and Portpatrick. Turn L onto South Crescent for parking at the end. Head away from town past Beachcomber Cafe to footpath and steps on L. Follow path to castle ½ mile moderate walk.","54.8354, -5.1099","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging"", ""Dangerous"", ""Ghosts/haunted""]",South West Scotland & Arran,3
Caerlaverock Castle,"This impressive stronghold had a violent 400-year history because of its strategic location near the border with England. This medieval building is unique in that it’s triangular. It has very strong red sandstone defensive walls, and is complete with a watery moat and a twintowered gatehouse. There is a tearoom for grown-ups and a playground for kids. The woods to the south are fun to explore as the remains of another castle can be found at the end of the site’s nature trail. Signed on R, 8 miles S of Dumfries on the B725. On national cycle route 7.","54.9757, -3.5239","[""Good for picnics"", ""Close to parking"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""Foraging"", ""English Heritage"", ""Pay to enter""]",South West Scotland & Arran,4
Kilbirnie Castle,"Also known as the Place of Kilbirnie, this is a very overgrown 15th-century castle, with some later buildings. Once its position would have been remote, but today it finds itself on the edge of a golf course. The remains are four storeys high, with impressive walls up to eight feet thick in places. The ruins are rather dilapidated, so don’t go too close in case of falling masonry. Travel W from Kilbirnie on Largs Rd, A760, park in lay-by just past golf course 55.7526, -4.7023. Carefully cross golf course to castle in a clump of trees.","55.7506, -4.7045","[""UNKNOWN:I"", ""Dramatic"", ""UNKNOWN:M""]",South West Scotland & Arran,5
